document_id,clean_text,sentiment
11,"I loved what I have watched from Ari Aster...until this one movie. It is not that I dislike it. In fact, I think it has some brilliant moments that stole a laugh from me. The acting is superb. The cinematography is beautiful to my taste and suits well with the story. But...yesss, but it is way too histrionic at times and too long as a whole. As a plain viewer and nothing else, some scenes are way too long (like the very last one), where the point is made within the first minute or two and there is no need to keep it 20 minutes long. And that gets me out of the story. It might be the pace, the editing or even that I am not getting something I should.I don't like or dislike the movie. I do know that if it was about one hour shorter, I would have been more compelled. And that is what I believe this art of cinema was invented for.",Positive
12,"Beau is Afraid demands us to see it again. It basically screams to be rewatched, paused, rewound, dissected, and examined. The brilliance of writer and director Ari Aster is that these repeat viewings will never ever help you get this movie. It's never going to click and magically make sense - going back to the well will only deepen your appreciation for the craft of the film.Beau is a marvel of modern cinema not just for its striking visuals, alarming contemporary setting, and technical merit but for the fact that by all means it shouldn't even exist. No superheroes, not a sequel, not pushing a trending agenda or remade from a novel. How can anyone profit from such a film?!I sound bitter or jaded. I'm not, I just want to express how deeply satisfying it is to see something so original and unique and beautiful and upsetting. Movies like this make me want to get off my ass and get on my ass. I mean to write. Like writing a movie.Joaquin Phoenix is Beau, who may be one of the least reliable narrators I've seen in a film for a long time. The movie follows him on what should be a simple trip to visit his mother, but from what I can gather, nothing is ever simple with Beau. Beau's journey takes us through at least six vastly different settings but they feel like alien dimensions that effectively skew reality but also mash genre, medium, and technique. I think I'd like to leave the synopsis at that, the premise is set up in the opening scene and what unfolds becomes an odyssey unlike anything I've ever seen. To attempt an explanation or listing every character and actor seems like it would be a disservice.It's gross, it's vulgar, it's profound, it's gorgeous - there is no shortage of adjectives to use here. Most importantly, it is worth your time. Beau is Afraid is a story that can only exist as a film and that's a true mark of greatness.",Positive
13,"This movie is very special and unique, and is definitely not for everyone. It is about a man, Beau, who gets a call that his mother has died. He will now embark on a long journey home where he will face his worst fears.The movie focuses on Beau's guilt, shame, anxiety, childhood fears etc. It feels like one long nightmare, a 3 hour long nightmare. Beau suffers from very strong anxiety. We get to see this anxiety and fear manifest throughout the movie in different contexts and environments in weird ways. It is a very sad movie.Joaquin Phoenix is very good in his role as Beau. Excellent acting as usual. This is Ari Aster's third movie, and it's also the one I like the least. I liked Hereditary and Midsommar much more. My biggest issue with this movie is that it is too long. I started watching it with my girlfriend and she got way too bored after 1 hour and 50 minutes, so we stopped. A few days later I finished watching the last hour by myself, and after it was done I liked the movie a bit more. Maybe it was because I took a break from it.Overall it's not a bad movie. It's just very special, and many will probably not like it that much. I still think it's worth a watch.",Negative
14,"Beau is Afraid has been somewhat panned by critics as being too self-indulgent or even pretentious. It's being said that it is a bombastic misstep that has befallen several other great auteurs early in their careers, drawing comparisons to Paul Thomas Anderson's Magnolia and last year's Babylon from Damien Chazelle. Here's a secret though... I also absolutely love those movies too.This reviewer will not be the one to penalize a great filmmaker for taking a big swing. Movies like Beau is Afraid catapult the industry forward, even if they show some occasional warts. I'll take that every time over the same tired safe bets. Movies like this are the antidote to the lukewarm MCU malaise and I am unabashedly here for it.Aster, who is the premier horror director of his generation, decided to break form and go with an Odyssey-like, surrealist, comedic drama. At least that is the best genre box I can attempt to place this movie in. It is certainly more Kaufman than Craven, but what I found interesting was how closely the humor in the film walks to horror. It seemed that a subtle change in tone or a different music cue could have me change from slapping my knee to gripping my chair.The story follows Beau (an utterly underappreciated performance from Joaquin Phoenix) as he travels back home to attend the funeral of his imperious mother. He suffers from extreme social anxiety bordering on paranoid schizophrenia... This is played for laughs. We are fully immersed in his view of the world. A world where everyone will kill you if given the chance, where danger is celebrated openly. We get no respite from this viewpoint. We don't get to pull back and see what real life situation is triggering such emotions or visions. We are inexorably tied to Beau and his psychosis.This setting proves to be fertile soil for Aster to imbue with the hysterically terrifying characters that pervade the film. Beau is Afraid feels fable-like in its surrealism. It has a good handful of the most expertly crafted scenes of the year. Whole sequences of the film are gorgeous, stand-alone, short stories, but Aster brings the humor cascading back down time and again to undercut any inkling that the movie should be taken as aureate.The movie does a lot. Some would say too much. But it's always fascinating, rife with intrigue, and bustling with energy. The exuberance is infectious. It is a marvelous descent into insanity leaving me with a delirious smile as the credits rolled. The kind of movie we don't often see because so few could or would dare to make it.",Positive
15,"This is Ari Aster's worst film. That's not to say it's bad, but it's his worst.The beginning of the movie starts off with this incredible burst of energy.Beau is this lonely guy talking his problems with a therapist and living in this dumpy apartment in some unnamed large city.But it's also a commentary on societal downfall and policymakers stupidity.It is absolute chaos in the streets. Broad daylight mayhem.It's like Idiocracy with extreme violence.And to be honest, it's entertaining as all get out.The first brilliant half hour to hour of this three hour monstrosity's runtime is when it's running at its full-tilt best.The apartment. The mayhem. The message on where society is heading and but fast.All of this is well received.Is this the Best Movie of 2023?Am I witnessing the Greatest Movie of the 2020's?In the first hour or so, you'll be out of your seat and thinking of spots to get this tattooed on your body.Then we enter the second hour or chapter as it may be.This is where Nathan Lane and Amy Ryan are introduced, and I love them.Absolutely love them. By themselves in other projects, and here together even.Love.But this is where the film slows considerably and gets weird, and not in your typical Aster good weird, but here just plain sad, depressing, nonsensical weird.And once Lane and Ryan have played their parts to the fullest in the middle of the film, audience members may start wishing there was a good editor making the hard choices in the house at A24.In the third and final hour, Parker Posey emerges, in what is no less her most stunningly amazing performance of this century.She is as gorgeous and incredible as she ever has been, though her scenes are short in this literal journey of a tale.Patti LuPone truly takes over from where Posey leaves off and devours the remaining scenery in what is definitely her finest performance ever on celluloid.But the story by now has devolved and is way too prolonged having lost its promise from the first hour so seemingly long ago.The ending in the most kindest of terms is a monumental disappointment.All the great filmmakers in history make a bad film sooner or later.Let's hope this will be Ari's one and only.Beau Is Afraid. But his movie is too often boring, overly long and unnecessarily grotesque.",Positive
16,"Couple things:1. I don't like being negative about movies.2. I love when filmmakers and creators take big risks and make original, creative movies that we haven't seen anything like before. Watching directors take huge swings, even when they miss, is infinitely more compelling than safe mediocrity.That being said... I thought Beau is Afraid was terrible. I might even say... unwatchable.And that really disappoints me. I love seeing big risks pay off and love to champion those films, and I really hate having to say I didn't like a movie. I'd usually give a wildly original film like this the benefit of the doubt for taking a big swing even if it doesn't fully pan out... but to me, Ari Aster missed the mark in every possible way with this film. The film felt like it was someone telling you all the unnecessary details of a nightmare they had as you slowly lose interest. The story had no rhyme or reason, and stuff just kept happening that never made sense to me. I really admire the originality and the skill behind the camera - it is still a technically well-made movie, and Joaquin Phoenix really commits to the role. The movie does do a good job of immersing you in the psyche of its protagonist. But overall, it just did not work.This is a perfect example of when art-house cinema becomes too much - the movie is inaccessible. If I as a cinephile struggles to get through the third hour of the movie, I can't imagine what it must be like for a member of the general moviegoing public. Like, the first 45 minutes were promising, but everything after was almost unbearable. Nothing worked for me, and I even questioned whether I could sit through the rest of it. The movie is far too long and is a slog to get through. It is also so obnoxiously self-indulgent. I do need time to digest it and think about it, but overall my gut feeling is that this movie really did not work for me. To me, it was terrible, which is such a surprise since I thought Aster's previous films, Hereditary and Midsommar, were quite excellent (albeit disturbing).I see why this film is so divisive, and I am very upset to say that I ended up on the negative side on this one. It's 100% an original and unique movie - I've never seen anything quite like it......but maybe that was a good thing.",Positive
17,"This whole movie is an exercise in anxiety. It's pretty much ""Anxiety the Movie."" Not horrific, just claustrophobic to the point of suffocation. There is a lot to unpack and multiple viewings will help with this one. Guilt is another big theme, guilt thrust upon a child from their parent. Nearly every scenario Beau is in involves animosity toward him. He is never safe from danger on some level. He can't leave or enter his apartment walking: he has to sprint away from people -- everyone really -- looking to hurt him or harass him on some level. He has been taught to be afraid from everyone and himself.But even if you don't get it, and I don't think I got even 30% of what Ari Aster is going for, the movie is hilarious, if you have a twisted sense of humor. I almost peed my pants laughing at the first of many scenes involving a bathtub (you'll know what I mean when you see it). It's hilarious and that's really why I loved it so much.",Positive
18,"""Beau is Afraid"" starts brilliantly, proceeds intriguingly, and finally gets so weird it becomes annoying and overstays its welcome.They say you only know how much is enough when you know how much is more than enough. I remember with Aster's previous movie ""Midsommar"", I actually considered turning it off early on, because it seemed massively overlong and moved very slowly. It seemed it might become boring. I persevered, though, and realised Aster knew exactly what he was doing with the length and slow pace, lulling us into a false sense of security, making us empathise with the characters and feel the complex emotions they'd be feeling.A director hadn't held the audience in the palm of his hand since Kubrick.With ""Beau is Afraid"", it feels like Aster loosens his grasp on us toward the end. The movie just gets so unaccountably bizarre that I lost interest a little bit. You know it's not going to answer its questions, and then it asks so many, you lose track of them and stop paying attention.The end still has flashes of brilliance, mostly Kubrickian and Lynchian touches, like startling still shots, and a meeting with a strange man who knows more about the protagonist than he should, a la the indelible, nightmarish scene with Robert Blake in ""Lost Highway"".Joaquin Phoenix also gives a great turn, similar to his triumph in ""Joker"". His work here is Oscar-worthy, but we know it won't get any attention from the Academy, because the movie's just too weird, as with Aubrey Plaza's brilliant work in the similarly inscrutable ""Black Bear"".Aster looked on track to become one of the all time great directors. His first movie was very good, and his second was great. Kubrick, Scorsese and Spielberg all took longer than that to make their first great movie. ""Beau is Afraid"" is a small misstep. I'm hoping that now Aster knows where the limits lie, he'll continue to go up to them, but won't need to go over them again.",Positive
19,"I won't write too much because the movie made me waste 3h of my life already.Three stars are for acting and production. Everything else would make me rate this movie as zero.The first third is ok, then it completely derails in nonsense without connections. Even something that is ""full of metaphors"" still must connect the dots at some stage. That doesn't happen. You probably have to be on heavy drugs to write such a disconnected script with lots of missing pieces.Yes, we can interpret the metaphors and make assumptions to understand the basic plot, but there is no reason for that, and even when you get to the point and understand everything (like you can see in many other reviews rating this film as 9 or 10 praising its originality), it's completely worthless. The film doesn't leave any message and doesn't entertain.I don't think I've ever felt so compelled to leave a session (I've never done that as I always wait for the end to give the movie a chance before I make my mind).",Negative
20,"Oh my gosh it's brilliant, to a point.Watching this can only be equated to what I believe 500 cups of coffee, no sleep, and functioning mental illness combined would be like. Several times I actually stopped to rewind (or, whatever it's called now, I backed up a few frames) to rewatch what I just watched, shouting ""WTF just happened""...it's an adventure in madness, like a song with lyrics that take you from midnight through to 5pm the next day and you're still at the bar playing random jukebox tunes while everyone else has gone home. This movie, seriously the director or producer or maybe all of them...just said action and told the actors to just do or say whatever the heck they wanted to say or do. Joaquin does a great job being the guy he's supposed to be and if you know, you know. Unfortunately, amongst the madness some of the story really never gets there and it's one heck of a LONG movie to not quite get there. Hence, I have to stop at a 7. I wish future watchers luck...it's one heck of a ride.",Negative
21,This is the 3rd movie I've seen by Ari Aster. The first two were "Midsommar" and "Hereditary". Chaos and horror seem to live in this director's head in such a way that I sort of feel sorry for him.As for "Beau is Afraid" -- it is nearly 3 hours of anxiety and suffering by the main character that can be rather upsetting and then becomes somewhat annoying as it goes on and on and you begin to wonder if there is any resolution at all for Beau's predicament.It is a good job by all the actors and the cinematography was excellent. The tone of the film is what may make you feel uncomfortable most of the time. I did enjoy it but it is too long and confusing at times.,Negative
22,"It takes a bit to let this movie truly sink in. It is one of the craziest fever-dream odyssey style movies I've ever seen. Ari Aster absolutely broke out of the style of Hereditary and midsommar. This was its own monster. It had parts that were extremely anxiety provoking, or were hilarious, boring or extremely intriguing. It was almost painful to watch, but afterwards i can't stop thinking about it (in a good way). I am very impressed.I think most people will be turned off/ not get the movie, but for some it will totally click. It's peak absurdism, and probably the most fascinating depiction of anxiety I've seen in film.One of the only flaws I have with this movie is the sheer run time. It is extremely long, and will test your patience in parts. There are parts that could've been cut out, sure, but nothing that truly took away from the film.Would I recommend watching it to most? No. But you should still see it regardless. It will more than likely impress you.",Positive
23,"If you think of this movie as a nightmare it makes more sense. When you dream, your brain processes deep emotions and fears. Things like guilt, shame, childhood fears (spiders, strangers, water, the woods, etc.) and a lot of times the narrative is confusing and all over the place. This basically sums of the movie.It's hard to review or summarize, but essentially it's a journey into Beau's subconscious. Fear of sex, mommy issues, shut down emotions, and unresolved trauma.I sometimes gauge a movie based on how many times I think about it after I've seen it. For this one, I've been thinking about it all day. There are some really creative, artistic scenes and shots also that keep the viewer interested. Overall it's disjointed and way too long, and definitely not for everyone. 6/10.",Positive
24,"I truly don't know where to start with this one. I've become a fan of director Ari Aster. Hereditary and Midsommar are both great movies in my opinion, even though they're not for everyone. He has shown that his style is very much out there and he just does whatever he wants. I admire that in a filmmaker, so I was eagerly awaiting his next outing, Beau is Afraid. Well, it's now playing in theatres and I think it's Aster's best and worst work to date. There's no denying this film is brilliantly well-made, but the actual presentation (story wise) downright baffled me, in good and bad ways. Here's why I really enjoyed watching it, even though it will never be a film I recommend.Joaquin Phoenix plays Beau, a man with an insane amount of anxiety. On the anniversary of his father's death, he has a plane ticket back home to visit his mother. Things prevent him from making his flight, which in turn leads to him slowly finding his way home anyways. That's the premise in a nutshell, but many other storylines are present as well. From confronting his demons through stage plays, crazy visuals, flashbacks, and some very creative practical effect work, Beau is Afraid is definitely one of the most unique films I've seen in a while. I loved watching this film, but didn't love it as a film overall.The best way I can explain how much I actually liked it is to say that I think it's a 5-star film on a filmmaking level, but about a 2-star film when it comes down to how effective the story is. I was eating up everything this film was giving me. My jaw was on the floor from how they pulled off certain sequences. I just wish the story became more clear by the end. I was very engaged, but even when the film felt like it was delivering answers, they also felt far too vague. The film plays as if it's giving you all the answers, but I was well aware it wasn't. I never felt frustrated while watching it, because I was loving the journey, but afterwards, I really had to think about whether or not the experience was enough for me. It was, but I have to admit it's not a great movie as a whole.Beau is Afriad isn't afraid to go all out in every scene. The studio that made this film (A24) also funded it as one of their most expensive films to date. The budget is used to its fullest potential here and the effort leaps off the screen. It's weird, visually stunning, and Phoenix's lead performance is stellar. Other than those aspects though, I was underwhelmed by the story. Still, if you're a film buff who likes to watch all movies, I recommend it, but to any casual viewer, I would say stay far, far away, it's probably not for you. It's a fantastic film to look at and follow along with, but it's simply not great otherwise in my opinion.",Positive
25,"I think the best way to approach Beau Is Afraid is to consider it as a series of Inception-styled existentialist nightmares that the real-life Beau is experiencing as he is safely ensconced in his comfy apartment in an upscale part of town. Everything that happens in the movie is then figurative, merely how Beau's mind is trying to process and resolve the difficult aspects of his life that may be hidden from his consciousness. The story consists of three nightmares or acts, each with its distinctive theme.In Act 1, Beau lives in his dull but orderly apartment, surrounded by the chaos that happens in his building and the lawlessness in the streets. The theme here is that the world is a dangerous place; Beau feels vulnerable, believes that bad things will happen to him, and his apartment represents his safe inner space, which is fragile as danger is always lurking beyond its four walls.In Act 2, Beau finds himself convalescing in the home of Roger, Grace and their volatile teenage daughter, after an accident. The couple seem inordinately concerned with the welfare of a stranger, yet has placed an ankle bracelet on him. Later, they set their other deranged ward, a combat veteran with PTSD named Jeeves, after him following an incident with their daughter. The theme here is that no one can be trusted. Fleeing from Jeeves, Beau runs into a theatre troupe. During their performance, like a nightmare within a nightmare, we see a story of Beau having a family and subsequently losing them in a natural disaster, only to reunite years later and discover they were never real to begin with. This family represents the life Beau could have had if it were not for his mother's influence on him.In Act 3, Beau finally arrives at his mother's lavish residence but is too late to the funeral. Mona reveals that she is not actually dead and the body in the coffin is that of the housekeeper, whose death she had bought. When Beau tries to stand up to Mona after years of her tyranny, he is banished to the attic where he finds his emaciated opinionated twin and a representation of his late father's genitals. Jeeves bursts in and starts attacking the father, because if the father is rendered impotent, Beau would not have been born. Jeeves is probably a manifestation of Beau's self-destructive tendencies. In the final scene, Beau stands trial accused of being ungrateful to his mother and is executed as she watches. We see him accept his fate and her shedding tears of self-pity when he disappears into the water. The theme here is subjugation; Mona had always put her needs before her son's, and made him neurotic and dependent so that she had control over him. She did not want her child to differentiate from her and become his own person. Beau Is Afraid is the tale of a narcissistic mother who enmeshed her son, hence Beau's demeanour throughout the movie is that of his young and terrified self.It is a big ask for people to sit through three hours of this. I watched it in two halves; I was thoroughly derisive in the first half but I appreciated the overall experience and meaning of the story as the second half progressed. Hence I empathise with the detractors and those who applauded this movie alike. As much as Aster might have been self-indulgent in creating this bloated excursion possibly based on a personal experience, I hope that he found catharsis in doing so. Still, I wouldn't recommend the movie without some forewarning and clues.",Negative
